Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_1320800,129743,64646,16837,17696,43263,11390
PBANKA_1320900,4622,2849,916,1413,2217,1239
PBANKA_1321000,2335,901,349,233,824,145
PBANKA_1321100,4094,1159,181,410,923,216
PBANKA_1321200,2599,1934,638,757,1982,346
PBANKA_1321300,1388,648,185,109,496,115
PBANKA_1321400,3213,1492,442,429,1080,301
PBANKA_1321500,6424,2677,878,423,741,188
PBANKA_1321600,13772,3951,341,628,2351,417
PBANKA_1321700,3606,1369,603,510,954,252
PBANKA_1321800,121,57,24,9,44,10
PBANKA_1321900,362,81,30,64,148,34
PBANKA_1322000,4139,1140,390,501,1307,259
PBANKA_1322100,782,291,128,34,138,25
PBANKA_1322200,5643,2344,481,334,1138,251
PBANKA_1322300,1813,825,238,220,722,129
PBANKA_1322400,4361,1872,587,194,1078,51
PBANKA_1322500,657,291,126,65,293,59
PBANKA_1322600,633,417,134,93,376,53
PBANKA_1322700,2040,1255,368,300,860,197
PBANKA_1322800,2657,926,311,208,696,124
PBANKA_1322900,1251,1139,312,155,395,81
PBANKA_1323000,366,193,75,40,153,33
PBANKA_1323100,530,111,47,51,200,43
PBANKA_1323200,2381,797,301,384,948,240
PBANKA_1323300,1532,1383,387,646,914,477
PBANKA_1323400,4343,2826,1250,729,3088,335
PBANKA_1323500,233,176,39,45,151,36
PBANKA_1323600,499,225,89,58,160,32
PBANKA_1323700,748,579,213,197,430,100
PBANKA_1323800,17418,9157,2905,3363,7215,1327
PBANKA_1323900,5191,3102,981,1241,2299,496
PBANKA_1324000,1286,1032,559,171,1989,112
PBANKA_1324100,1433,1093,343,284,777,171
PBANKA_1324200,764,566,139,191,684,116
PBANKA_1324300,398,385,102,73,270,51
PBANKA_1324400,4533,2891,920,691,2578,402
PBANKA_1324500,94,33,26,12,59,10
PBANKA_1324600,262,183,77,70,161,32
PBANKA_1324700,368,207,78,45,200,28
PBANKA_1324800,2124,725,215,190,750,106
PBANKA_1324900,1137,643,225,81,333,37
PBANKA_1325000,4092,2549,754,1495,2093,1021
PBANKA_1325100,2680,2050,593,718,1670,330
PBANKA_1325200,3650,2929,767,701,1881,660
PBANKA_1325300,3489,1558,462,480,1171,463
PBANKA_1325400,6576,6655,2062,1018,4912,1155
PBANKA_1325500,8081,2710,352,642,2393,665
PBANKA_1325600,1277,329,139,150,271,68
PBANKA_1325700,1288,620,182,47,155,24
PBANKA_1325800,894,300,139,84,284,43
PBANKA_1325900,502,472,131,87,343,49
PBANKA_1326000,5824,1520,514,452,1567,379
PBANKA_1326100,9369,3229,1091,274,906,172
PBANKA_1326200,2415,1062,392,140,330,88
PBANKA_1326300,4593,2852,1010,1703,2578,718
PBANKA_1326400,40268,34827,26840,27643,61840,13954
PBANKA_1326500,822,294,119,59,158,49
PBANKA_1326600,6588,3473,1202,659,3103,446
PBANKA_1326700,4076,1055,135,348,1305,349
PBANKA_1326800,2148,1291,452,394,663,176
PBANKA_1326900,3671,1018,425,168,689,117
PBANKA_1327000,1081,585,144,160,432,100
PBANKA_1327021,892,530,391,486,1052,142
PBANKA_1327041,4,1,3,2,11,1
PBANKA_1327061,468,234,79,64,211,23
PBANKA_1327080,205,19,19,26,233,19
PBANKA_1327100,1054,707,284,143,445,91
PBANKA_1327200,459,126,44,44,184,20
PBANKA_1327251,970,1026,447,516,1528,285
PBANKA_1327300,2207,1753,1341,2079,3803,548
PBANKA_1327400,543,249,97,67,147,40
PBANKA_1327500,220,69,34,33,67,22
PBANKA_1327600,526,296,86,23,158,33
PBANKA_1327700,1592,759,347,168,653,82
PBANKA_1327800,1072,881,423,413,1220,183
PBANKA_1327900,10385,2412,118,429,3325,343
PBANKA_1328000,1610,783,214,242,677,183
PBANKA_1328100,3353,1564,627,344,1169,235
PBANKA_1328200,1999,938,312,96,371,26
PBANKA_1328300,2264,1124,306,482,805,463
PBANKA_1328400,4806,2468,1095,1085,3256,583
PBANKA_1328500,239,61,24,34,86,37
PBANKA_1328600,145,38,15,10,41,13
PBANKA_1328700,819,505,242,162,451,56
PBANKA_1328800,4126,4286,1306,1678,3173,1123
PBANKA_1328900,3249,758,219,225,577,237
PBANKA_1329000,4221,2213,640,397,988,281
PBANKA_1329100,34138,30784,9865,9638,17571,7509
PBANKA_1329200,58346,9876,375,824,7878,1199
PBANKA_1329300,5699,4558,2224,2712,6167,1740
PBANKA_1329400,18221,14978,3459,2420,8413,1911
PBANKA_1329500,6407,4050,524,1469,2618,916
PBANKA_1329600,6654,1738,194,658,2192,773
PBANKA_1329700,9384,4397,804,1726,3597,1469
PBANKA_1329800,4382,2072,586,763,1592,678
PBANKA_1329900,14550,10176,3126,2310,17597,897
PBANKA_1330000,808,538,206,37,290,26
PBANKA_1330100,824,792,235,240,693,158
PBANKA_1330200,721,217,93,132,337,88
PBANKA_1330300,2555,858,255,257,902,230
PBANKA_1330400,123,75,41,35,68,26
PBANKA_1330500,165,69,30,19,57,18
PBANKA_1330600,428,163,72,76,124,38
PBANKA_1330700,6642,3336,1069,589,2914,264
PBANKA_1330800,2071,887,326,277,982,160
PBANKA_1330900,6471,2341,752,232,1015,96
PBANKA_1331000,469,322,150,62,364,42
PBANKA_1331100,524,528,231,173,921,81
PBANKA_1331200,7026,3143,553,787,3136,1073
PBANKA_1331300,18520,5368,571,745,3020,530
PBANKA_1331400,25666,6809,192,1612,7733,1985
PBANKA_1331500,226,63,24,14,35,16
PBANKA_1331600,989,837,304,104,589,55
PBANKA_1331700,1391,1171,304,266,671,258
PBANKA_1331800,2300,1509,532,344,1184,224
PBANKA_1331900,5914,3018,1167,1302,2868,937
PBANKA_1332000,3525,2063,275,519,1531,467
PBANKA_1332100,2634,1183,355,279,876,270
PBANKA_1332200,476,286,117,116,308,51
PBANKA_1332300,565,271,108,67,349,42
PBANKA_1332400,2086,1279,344,277,797,151
PBANKA_1332500,752,572,173,160,383,84
PBANKA_1332600,994,456,153,119,417,58
PBANKA_1332700,2217,998,127,175,810,72
PBANKA_1332800,26461,6737,164,1458,7173,1435
PBANKA_1332900,314,128,104,47,125,26
PBANKA_1333000,1728,1149,495,275,581,186
PBANKA_1333100,6044,3297,991,67,248,66
PBANKA_1333200,702,289,100,47,267,39
PBANKA_1333300,3208,972,333,344,1039,218
PBANKA_1333400,239,208,77,39,149,23
PBANKA_1333500,314,276,105,102,256,68
PBANKA_1333600,1430,959,394,313,670,186
PBANKA_1333700,54043,25612,8205,7741,18424,5673
PBANKA_1333800,1166,705,217,124,488,92
PBANKA_1333900,1406,557,179,172,496,98
PBANKA_1334000,2426,742,284,145,601,107
PBANKA_1334100,1359,631,246,175,550,134
PBANKA_1334200,988,931,257,260,574,162
PBANKA_1334300,3373,1369,536,259,919,121
PBANKA_1334400,4981,2346,757,841,1245,562
PBANKA_1334500,569,290,106,70,146,42
PBANKA_1334600,1265,927,564,566,1728,284
PBANKA_1334700,18927,15628,5069,5406,12314,3095
PBANKA_1334800,111491,43391,565,3609,34464,2397
PBANKA_1334900,83769,30265,465,1859,23973,1317
PBANKA_1335000,15760,12257,2895,2087,7794,1396
PBANKA_1335100,5673,1117,300,380,1533,149
PBANKA_1335200,1613,837,266,240,507,123
PBANKA_1335300,2190,1142,463,337,1002,143
PBANKA_1335400,4394,1492,501,556,1537,307
PBANKA_1335500,784,388,198,155,526,100
PBANKA_1335600,423,177,53,73,187,74
PBANKA_1335700,3728,2258,766,388,1304,167
PBANKA_1335800,1486,664,226,168,633,77
PBANKA_1335900,1352,569,231,175,424,135
PBANKA_1336000,475,224,154,69,368,48
PBANKA_1336100,384,146,61,34,99,26
PBANKA_1336200,4017,3115,632,437,1738,229
PBANKA_1336300,2185,937,389,254,828,150
PBANKA_1336400,2006,2968,753,242,1374,208
PBANKA_1336500,4155,1693,397,218,570,48
PBANKA_1336600,7302,3161,930,1050,2197,788
PBANKA_1336700,1564,755,244,238,604,118
PBANKA_1336800,227,210,78,165,204,74
PBANKA_1336900,4671,2326,628,331,697,107
PBANKA_1337000,2143,678,245,195,671,126
PBANKA_1337100,6646,4279,667,1359,2211,618
PBANKA_1337200,2301,1167,452,275,981,222
PBANKA_1337300,1729,1181,471,228,932,116
PBANKA_1337400,2428,841,355,301,684,161
PBANKA_1337500,18218,4794,1318,686,2041,477
PBANKA_1337600,7113,2909,919,787,1721,447
PBANKA_1337700,1051,426,159,90,324,64
PBANKA_1337800,1856,682,305,164,647,144
PBANKA_1337900,1324,393,132,111,374,79
PBANKA_1338000,949,448,177,100,888,54
PBANKA_1338100,26068,29101,10725,15729,43155,8459
PBANKA_1338200,1753,1647,825,700,2956,472
PBANKA_1338300,3517,2189,727,688,1578,433
PBANKA_1338400,2768,1827,555,647,1025,314
PBANKA_1338500,1525,566,190,125,385,68
PBANKA_1338600,5341,3733,1116,314,2427,243
PBANKA_1338700,6310,3843,1242,1700,3165,1119
PBANKA_1338800,850,342,145,87,278,78
PBANKA_1338900,58833,60707,34247,55397,117115,19859
PBANKA_1339000,1081,359,127,148,363,95
PBANKA_1339100,213,161,46,34,132,18
PBANKA_1339200,345,110,52,60,174,51
PBANKA_1339300,1784,947,343,268,623,210
PBANKA_1339400,2155,1619,379,242,792,133
PBANKA_1339500,5116,1240,284,468,1397,397
PBANKA_1339600,3834,3081,812,474,1722,292
PBANKA_1339700,723,389,125,113,311,95
PBANKA_1339800,741,281,99,230,469,128
PBANKA_1339900,1142,770,239,177,443,114
PBANKA_1340000,349,115,74,41,85,34
PBANKA_1340100,12651,12088,5510,6894,23614,4371
PBANKA_1340200,1169,871,368,333,1195,203
PBANKA_1340300,1023,430,171,182,352,122
PBANKA_1340400,12359,6683,3435,2075,4284,1952
PBANKA_1340500,3286,872,194,151,626,271
PBANKA_1340600,2802,1567,488,570,1392,291
PBANKA_1340700,654,482,216,99,870,68
PBANKA_1340800,488,367,192,187,410,76
PBANKA_1340900,614,207,25,28,185,38
PBANKA_1341000,11694,2974,472,854,3879,609
PBANKA_1341100,4801,3796,1444,1201,4270,673
PBANKA_1341200,1107,680,251,137,595,101
PBANKA_1341300,941,296,124,76,323,42
PBANKA_1341400,1225,642,210,45,175,36
PBANKA_1341500,2256,1039,339,410,660,374
PBANKA_1341600,876,366,149,126,259,66
PBANKA_1341700,5491,1438,414,395,1665,285
PBANKA_1341800,11000,2794,329,1059,3102,559
PBANKA_1341900,1910,430,179,228,565,153
PBANKA_1342000,1064,498,208,141,578,88
PBANKA_1342100,224,69,28,47,160,40
PBANKA_1342200,202,118,31,42,181,48
PBANKA_1342300,26616,20065,4849,4488,12644,3734
PBANKA_1342400,746,471,131,113,352,92
PBANKA_1342500,116174,51041,2466,13108,36931,9712
PBANKA_1342600,343,80,35,36,150,23
PBANKA_1342700,235,112,57,34,117,37
PBANKA_1342800,625,213,103,119,270,83
PBANKA_1342900,555,157,103,38,243,28
PBANKA_1343000,3169,1506,454,501,1141,323
PBANKA_1343100,652,434,124,19,176,36
PBANKA_1343200,46800,14701,1446,2548,9209,1438
PBANKA_1343300,2793,1784,1088,1307,1971,784
PBANKA_1343400,8916,2142,214,769,2589,324
PBANKA_1343500,1824,923,269,186,734,101
PBANKA_1343600,836,347,110,137,340,98
PBANKA_1343700,4234,2606,771,581,1872,389
PBANKA_1343750,193,230,1554,434,4528,88
PBANKA_1343800,1305,1240,322,353,699,191
PBANKA_1343900,520,314,122,94,303,65
PBANKA_1344000,3894,1167,180,407,930,250
PBANKA_1344100,7187,3043,517,884,2539,678
PBANKA_1344200,2895,2783,920,84,372,117
PBANKA_1344300,7825,3360,1032,1105,2124,318
PBANKA_1344400,1143,826,268,325,659,175
PBANKA_1344500,6138,1925,213,826,1874,447
PBANKA_1344600,2747,809,312,277,860,161
PBANKA_1344700,1149,511,159,73,303,46
PBANKA_1344800,326,234,80,62,215,55
PBANKA_1344900,469,200,112,67,271,46
PBANKA_1345000,658,501,154,200,430,131
PBANKA_1345100,374,168,86,49,178,14
PBANKA_1345200,206,141,46,65,95,31
PBANKA_1345300,1459,1010,351,262,681,163
PBANKA_1345400,1751,972,385,455,1023,211
PBANKA_1345500,7883,4543,1068,1189,4005,876
PBANKA_1345600,2543,1496,551,447,1002,283
PBANKA_1345700,1271,493,293,220,770,94
PBANKA_1345800,2393,1401,439,263,957,225
PBANKA_1345850,5,0,3,2,7,3
PBANKA_1345900,825,512,144,143,383,111
PBANKA_1346000,1137,343,126,131,365,146
PBANKA_1346100,687,437,192,108,359,50
PBANKA_1346200,2365,1220,488,493,1420,289
PBANKA_1346300,21547,13017,3327,2844,9572,2266
PBANKA_1346400,3261,1763,429,461,1142,551
PBANKA_1346500,893,379,151,60,304,65
PBANKA_1346600,5177,1460,483,476,1188,351
PBANKA_1346700,3674,2758,1496,2141,4603,913
PBANKA_1346750,64,47,16,14,34,10
PBANKA_1346800,2150,1236,447,333,959,169
PBANKA_1346900,813,576,206,162,498,111
PBANKA_1347000,13181,10373,493,2149,5936,423
PBANKA_1347100,145,54,20,14,58,14
PBANKA_1347200,1831,879,287,330,711,287
PBANKA_1347300,606,426,145,81,342,84
PBANKA_1347400,1090,751,308,210,613,104
PBANKA_1347500,850,429,144,128,369,67
PBANKA_1347600,695,441,150,139,268,82
PBANKA_1347700,3714,1586,497,561,1347,406
PBANKA_1347800,2255,2302,593,707,1471,420
PBANKA_1347900,1204,418,148,261,914,131
PBANKA_1348000,459,277,76,58,204,28
PBANKA_1348100,684,256,125,63,270,40
PBANKA_1348200,1058,498,156,88,454,62
PBANKA_1348300,1534,574,181,291,564,135
PBANKA_1348400,2189,1453,481,307,1075,153
PBANKA_1348500,614,634,169,96,313,61
PBANKA_1348600,1667,474,204,133,493,106
PBANKA_1348700,4138,978,414,318,1434,151
PBANKA_1348800,5473,1199,527,558,1929,378
PBANKA_1348900,1793,725,273,195,792,251
PBANKA_1349000,1609,678,1491,1302,3573,200
PBANKA_1349100,1229,866,249,320,501,129
PBANKA_1349200,8569,3879,1093,538,2937,136
PBANKA_1349300,4836,2648,818,327,1183,134
PBANKA_1349400,2760,1686,567,80,209,59
PBANKA_1349500,323,202,63,129,233,72
PBANKA_1349600,1852,499,179,262,660,208
PBANKA_1349700,1666,633,207,262,823,145
PBANKA_1349800,301,508,163,302,537,239
PBANKA_1349900,1235,506,220,155,415,113
PBANKA_1350000,760,446,129,120,273,81
PBANKA_1350100,380,217,96,86,240,89
PBANKA_1350200,1410,1599,430,84,294,69
PBANKA_1350300,2663,1712,556,336,1329,197
PBANKA_1350350,8,4,1,2,8,0
PBANKA_1350400,959,809,241,327,905,118
PBANKA_1350500,2178,1471,466,545,924,299
PBANKA_1350600,2128,1139,360,335,746,234
PBANKA_1350700,1227,547,209,190,444,120
PBANKA_1350800,491,174,80,43,161,38
PBANKA_1350900,296,147,104,71,288,37
PBANKA_1351000,1586,655,161,287,601,168
PBANKA_1351100,2292,945,261,373,751,229
PBANKA_1351200,597,257,107,55,412,89
PBANKA_1351300,17384,5054,556,1812,4969,1270
PBANKA_1351351,25,11,4,14,18,9
PBANKA_1351400,1331,705,249,156,617,152
PBANKA_1351500,498,276,95,81,281,59
PBANKA_1351600,186,79,27,11,56,7
PBANKA_1351700,4990,2276,876,509,2401,290
PBANKA_1351800,2899,1176,408,479,982,351
PBANKA_1351900,2885,1695,491,227,1453,149
PBANKA_1352000,5245,2295,965,514,1824,240
PBANKA_1352100,16618,18749,4263,1970,5611,434
PBANKA_1352200,1413,443,178,77,274,28
PBANKA_1352300,4007,1318,469,423,1479,334
PBANKA_1352400,2838,1719,494,510,1411,387
PBANKA_1352500,37797,34223,9602,17062,23353,10823
PBANKA_1352600,4899,2703,969,1259,3035,738
PBANKA_1352621,1,14,18,4,7,14
PBANKA_1352641,9,20,18,34,14,14
PBANKA_1352700,1445,814,256,288,498,173
PBANKA_1352800,1657,977,337,348,1186,161
PBANKA_1352900,701,283,94,57,440,45
PBANKA_1353000,451,118,47,66,206,36
PBANKA_1353100,17896,6544,484,777,3794,727
PBANKA_1353200,548,341,83,54,201,34
PBANKA_1353300,1933,578,221,186,510,141
PBANKA_1353400,3209,1568,410,215,1074,137
PBANKA_1353500,325,217,87,55,175,22
PBANKA_1353600,37,21,11,11,10,1
PBANKA_1353700,730,545,168,142,317,71
PBANKA_1353800,87200,57143,14977,12313,34720,7852
PBANKA_1353900,5365,1599,431,332,1652,307
PBANKA_1354000,340,144,67,92,155,77
PBANKA_1354100,4337,3177,1065,1955,2573,942
PBANKA_1354200,832,783,451,357,2414,193
PBANKA_1354300,10191,7175,2975,2502,6692,1535
PBANKA_1354351,179,203,353,888,713,250
PBANKA_1354380,25,68,68,66,197,39
PBANKA_1354400,8435,7223,2533,2462,5929,1887
PBANKA_1354500,4693,3132,1746,1827,7377,989
PBANKA_1354550,78,72,25,18,66,17
PBANKA_1354600,123,114,44,41,124,25
PBANKA_1354700,1205,350,150,157,310,102
PBANKA_1354800,2951,1617,553,199,846,89
PBANKA_1354900,86596,85739,26011,24286,64454,11091
PBANKA_1355000,1876,1299,620,703,1359,303
PBANKA_1355100,11326,5224,1609,2221,3858,1445
PBANKA_1355200,5773,3451,733,1044,2498,676
PBANKA_1355300,413,203,103,57,154,52
PBANKA_1355400,273,69,31,8,40,3
PBANKA_1355500,2962,1955,642,579,1136,445
PBANKA_1355600,244,185,58,48,182,34
PBANKA_1355700,86967,71418,21468,20679,46481,13892
PBANKA_1355800,318,264,70,78,225,50
PBANKA_1355900,57509,41979,11610,11629,27024,6448
PBANKA_1356000,4313,1153,84,352,1319,357
PBANKA_1356100,3918,1851,520,390,1413,163
PBANKA_1356200,768,522,276,268,866,137
PBANKA_1356300,10449,3161,700,816,2158,595
PBANKA_1356400,18000,6726,872,1163,2391,595
PBANKA_1356500,1376,1357,549,427,1476,256
PBANKA_1356600,147,33,28,14,83,6
PBANKA_1356700,3037,1271,439,443,974,271
PBANKA_1356800,23407,4527,205,488,4595,597
PBANKA_1356900,1098,639,237,149,424,93
PBANKA_1357000,371,107,54,48,119,30
PBANKA_1357100,1203,394,130,144,286,75
PBANKA_1357200,8437,2735,768,814,2163,840
PBANKA_1357300,2934,1247,326,465,1154,286
PBANKA_1357400,111,39,24,8,55,5
PBANKA_1357500,426,238,129,92,137,48
PBANKA_1357600,931,389,129,63,301,44
PBANKA_1357700,4283,3844,990,1390,1817,654
PBANKA_1357800,18565,6305,850,1426,3727,1209
PBANKA_1357900,4885,3751,883,1372,2419,986
PBANKA_1358000,1051,887,393,493,1266,232
PBANKA_1358100,380,245,89,116,196,71
PBANKA_1358200,2257,1935,971,902,3464,381
PBANKA_1358300,12151,5132,255,1039,3005,541
PBANKA_1358400,620,259,121,41,127,29
PBANKA_1358500,681,661,181,129,335,76
PBANKA_1358600,3578,1935,655,584,1241,395
PBANKA_1358700,2780,1359,489,337,994,292
PBANKA_1358800,2460,1808,509,193,590,107
PBANKA_1358900,3646,1365,408,286,1121,232
PBANKA_1359000,20187,16697,9118,10551,27687,5528
PBANKA_1359100,831,331,101,49,288,32
PBANKA_1359200,4278,3248,983,1238,1835,743
PBANKA_1359300,11525,2250,92,378,2811,572
PBANKA_1359400,1724,1013,603,542,1522,293
PBANKA_1359500,2825,3654,1282,723,3023,522
PBANKA_1359600,9043,3973,1730,706,3093,378
PBANKA_1359700,8970,5205,1664,1255,3581,531
PBANKA_1359800,1045,398,123,18,145,13
PBANKA_1359900,945,396,172,256,331,192
PBANKA_1360000,3499,2329,586,559,1474,456
PBANKA_1360100,1677,774,367,226,659,179
PBANKA_1360200,2351,2555,664,1352,2158,848
PBANKA_1360300,11374,5336,1826,2384,3337,1464
PBANKA_1360400,14585,13947,4328,6229,9793,4308
PBANKA_1360500,1865,950,288,334,766,203
PBANKA_1360600,1736,825,299,261,719,147
PBANKA_1360700,2574,724,181,177,716,120
PBANKA_1360800,1536,520,129,153,469,117
PBANKA_1360900,730,568,166,121,365,68
PBANKA_1361000,778,706,180,79,372,66
PBANKA_1361100,2401,1071,213,375,999,219
PBANKA_1361200,71569,27423,1831,6400,23430,7482
PBANKA_1361300,6550,4040,1335,927,2752,542
PBANKA_1361400,692,379,128,34,124,14
PBANKA_1361500,5813,1820,693,415,1324,323
PBANKA_1361600,16141,4240,1647,1263,3832,1032
PBANKA_1361700,112,68,28,11,105,13
PBANKA_1361800,3122,1406,460,408,1165,297
PBANKA_1361900,267,131,58,30,127,14
PBANKA_1362000,5826,2391,814,871,1922,525
PBANKA_1362100,6482,1700,426,501,1790,431
PBANKA_1362200,906,807,373,82,267,61
PBANKA_1362300,4531,1582,497,603,2298,424
PBANKA_1362400,849,367,130,74,278,48
PBANKA_1362500,659,431,189,251,677,148
PBANKA_1362600,422,212,76,87,210,36
PBANKA_1362700,427,283,162,79,221,33
PBANKA_1362800,1093,683,227,99,568,115
PBANKA_1362900,1660,1127,399,410,670,233
PBANKA_1363000,547,411,140,47,465,37
PBANKA_1363100,564,410,152,49,289,48
PBANKA_1363200,1259,497,211,251,737,164
PBANKA_1363300,905,464,155,151,427,84
PBANKA_1363400,493,271,87,85,274,47
PBANKA_1363500,1719,918,302,152,748,141
PBANKA_1363600,25235,16137,4742,2924,11080,2111
PBANKA_1363700,938,625,170,127,461,69
PBANKA_1363800,4351,1337,343,683,1661,702
PBANKA_1363900,889,526,356,611,1561,302
PBANKA_1364000,1810,746,245,267,726,160
PBANKA_1364100,1565,769,311,349,667,239
PBANKA_1364200,6521,4855,1706,2795,3980,1634
PBANKA_1364250,48,24,16,10,45,7
PBANKA_1364300,21198,14904,3715,6103,9233,2689
PBANKA_1364400,19731,10715,2457,3161,7493,1682
PBANKA_1364500,522,209,67,51,239,28
PBANKA_1364600,1236,404,154,84,440,84
PBANKA_1364700,14148,5852,1420,1991,6367,1133
PBANKA_1364800,874,321,115,103,361,69
PBANKA_1364900,1446,1209,280,230,784,225
PBANKA_1365000,445,60,30,37,65,21
PBANKA_1365100,4774,1605,696,378,1007,318
PBANKA_1365200,2552,1476,695,893,1564,382
PBANKA_1365300,3678,1052,336,446,1034,446
PBANKA_1365400,3072,989,365,311,1048,267
PBANKA_1365500,11896,6353,3179,2145,6301,1225
PBANKA_1365550,156,68,24,26,69,40
PBANKA_1365600,558,677,356,284,875,139
PBANKA_1365650,81,28,19,6,29,6
PBANKA_1365680,45,25,6,2,18,3
PBANKA_1365700,703,429,98,62,136,3
PBANKA_1365721,153,55,0,4,45,3
PBANKA_1400011,29,2,0,5,6,0
PBANKA_1400021,2,0,0,0,0,0
PBANKA_1400031,4,1,0,0,1,1
PBANKA_1400041,88,95,22,17,69,3
PBANKA_1400051,33,5,1,3,12,10
PBANKA_1400061,24,13,5,14,21,9
PBANKA_1400071,289,94,29,65,122,14
PBANKA_1400081,261,96,38,127,304,16
PBANKA_1400086,2,0,0,0,0,0
PBANKA_1400091,1486,589,18,95,559,103
PBANKA_1400096,0,0,1,0,0,1
PBANKA_1400100,428,286,51,56,161,24
PBANKA_1400200,212,62,27,60,69,9
PBANKA_1400300,153,71,17,15,36,9
PBANKA_1400400,677,490,151,158,485,8
PBANKA_1400500,13,2,5,1,4,4
PBANKA_1400600,16292,3976,730,2287,3591,996
PBANKA_1400700,8378,6143,1931,888,6685,598
PBANKA_1400800,403,178,58,52,158,15
PBANKA_1400900,4930,3734,1294,789,3222,487
PBANKA_1401000,9901,2891,395,568,2061,534
PBANKA_1401100,529,292,135,140,231,77
PBANKA_1401200,1383,503,45,110,509,66
PBANKA_1401300,5659,3096,1129,665,2052,458
PBANKA_1401400,679,197,82,85,193,60
PBANKA_1401500,1186,726,335,234,568,121
PBANKA_1401600,1997,1240,543,476,910,315
PBANKA_1401700,492,438,124,116,276,69
PBANKA_1401800,581,222,79,49,174,46
PBANKA_1401900,601,242,103,60,246,62
PBANKA_1402000,3190,1228,132,422,1091,288
PBANKA_1402100,218,146,56,18,126,28
PBANKA_1402200,3646,1814,651,211,711,224
PBANKA_1402300,11206,2449,126,533,3047,1056
PBANKA_1402400,2863,2271,803,457,767,477
PBANKA_1402500,16623,8217,2184,2302,5444,1742
PBANKA_1402600,13160,5979,1473,1857,3540,1591
PBANKA_1402700,746,305,109,57,180,39
PBANKA_1402800,430,284,102,49,174,38
PBANKA_1402900,2058,1337,331,715,1366,812
PBANKA_1403000,282,244,82,97,215,107
PBANKA_1403100,355,91,34,27,82,33
PBANKA_1403200,392,312,161,95,368,98
PBANKA_1403250,6,6,11,4,53,5
PBANKA_1403300,9066,2838,710,354,1790,347
PBANKA_1403400,521,306,130,108,304,47
PBANKA_1403500,3353,1168,311,310,1120,161
PBANKA_1403600,989,342,150,62,290,61
PBANKA_1403700,2113,1876,463,173,1124,96
PBANKA_1403800,6862,1803,119,664,2038,564
PBANKA_1403900,573,226,89,89,239,33
PBANKA_1404000,524,182,80,58,159,42
PBANKA_1404100,710,384,122,131,348,93
PBANKA_1404200,273,223,121,232,493,97
PBANKA_1404300,297,187,75,36,143,30
PBANKA_1404400,2113,940,301,133,479,112
PBANKA_1404500,204,120,42,29,136,37
PBANKA_1404600,275,114,55,24,90,26
PBANKA_1404700,1464,644,256,111,529,101
PBANKA_1404800,684,329,136,90,294,74
PBANKA_1404900,3934,2160,695,737,1299,720
PBANKA_1405000,16643,7157,1786,879,2168,254
PBANKA_1405100,1940,1093,313,295,807,213
PBANKA_1405200,3295,1519,497,494,1016,512
PBANKA_1405300,615,412,161,110,281,67
PBANKA_1405400,1283,964,162,304,1044,201
PBANKA_1405500,802,517,174,196,408,120
PBANKA_1405600,1311,623,186,283,522,167
PBANKA_1405700,276,249,88,40,128,49
PBANKA_1405800,1089,436,150,105,319,86
PBANKA_1405900,1966,1026,281,125,319,63
PBANKA_1406000,123,89,35,12,47,8
PBANKA_1406100,3694,2445,292,555,1278,468
PBANKA_1406200,6747,2610,511,772,2204,832
PBANKA_1406300,937,702,185,129,438,99
PBANKA_1406400,3551,1537,463,414,1216,218
PBANKA_1406500,2222,1062,290,259,745,184
PBANKA_1406600,1684,1070,431,172,999,83
PBANKA_1406700,6384,1571,90,578,1605,461
PBANKA_1406800,2598,1618,665,510,1262,337
PBANKA_1406900,17535,5204,268,1541,5197,1335
PBANKA_1407000,2067,896,238,209,664,126
PBANKA_1407100,781,258,92,76,284,69
PBANKA_1407200,696,341,125,80,301,63
PBANKA_1407300,1070,675,276,299,472,172
PBANKA_1407400,15292,7949,1607,2576,5957,3391
PBANKA_1407500,517,237,94,49,233,43
PBANKA_1407600,6212,6519,2202,2691,5685,1485
PBANKA_1407650,41,20,76,14,237,7
PBANKA_1407700,4218,2325,681,748,1668,432
PBANKA_1407800,4463,2340,595,565,1246,358
PBANKA_1407900,74889,35226,8003,9542,25532,6687
PBANKA_1408000,802,594,176,158,356,99
PBANKA_1408100,333,176,69,26,127,28
PBANKA_1408200,1556,490,119,143,379,94
PBANKA_1408300,238,118,72,61,129,18
PBANKA_1408400,48,31,21,12,76,12
PBANKA_1408500,1129,745,211,172,506,88
PBANKA_1408600,692,236,81,61,183,14
PBANKA_1408700,216,148,86,15,91,4
PBANKA_1408800,377,202,46,39,196,48
PBANKA_1408900,1364,928,49,135,826,180
PBANKA_1409000,1098,735,227,211,617,112
PBANKA_1409100,243,204,60,54,160,54
PBANKA_1409200,2609,2478,803,1222,1913,573
PBANKA_1409300,1381,545,192,123,552,84
PBANKA_1409400,505,458,220,278,444,112
PBANKA_1409500,339,277,96,57,360,35
PBANKA_1409600,10014,6137,1592,506,1396,75
PBANKA_1409700,1688,690,239,251,471,91
PBANKA_1409800,744,799,240,548,1738,168
PBANKA_1409900,1812,853,263,133,570,85
PBANKA_1410000,4966,4083,1673,2838,4038,1376
