Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_0312900,136,56,24,12,108,14
PBANKA_0313000,332,93,41,46,162,30
PBANKA_0313100,992,398,147,134,330,112
PBANKA_0313200,680,282,69,84,281,68
PBANKA_0313300,3697,2206,634,1098,1886,564
PBANKA_0313400,1469,938,91,112,613,78
PBANKA_0313500,508,220,83,45,145,26
PBANKA_0313600,2765,1315,377,25,106,11
PBANKA_0313700,2173,855,287,233,418,104
PBANKA_0313800,8140,4440,1193,1861,3246,895
PBANKA_0313900,1555,503,231,133,450,97
PBANKA_0314000,161,89,34,29,143,20
PBANKA_0314100,1470,1310,465,638,1036,329
PBANKA_0314200,8317,4590,1387,1572,3061,1093
PBANKA_0314300,966,408,151,189,598,131
PBANKA_0314400,1151,593,130,149,387,119
PBANKA_0314500,3728,2699,1472,1907,5567,1170
PBANKA_0314600,1051,334,176,197,494,140
PBANKA_0314700,4733,2677,1131,1020,2050,746
PBANKA_0314800,2874,1978,928,1996,3987,977
PBANKA_0314900,2407,1065,105,269,1193,233
PBANKA_0315000,274,115,38,30,94,10
PBANKA_0315100,1007,583,185,192,482,103
PBANKA_0315200,486,357,142,125,334,79
PBANKA_0315300,2479,1365,408,554,1305,519
PBANKA_0315400,1194,607,196,91,599,36
PBANKA_0315410,663,354,248,115,742,63
PBANKA_0315420,11,4,0,7,5,2
PBANKA_0315430,3,2,0,3,6,3
PBANKA_0315500,676,432,121,156,271,77
PBANKA_0315600,1888,1691,739,1208,2545,659
PBANKA_0315700,216,77,47,14,104,12
PBANKA_0315800,9354,9105,2470,6433,19577,1523
PBANKA_0315900,751,452,227,136,510,114
PBANKA_0316000,14205,5375,1124,914,2435,654
PBANKA_0316100,1210,312,254,181,972,118
PBANKA_0316200,43171,11433,379,7059,10788,5716
PBANKA_0316300,1024,350,154,93,389,17
PBANKA_0316400,1545,930,295,155,482,116
PBANKA_0316500,245,109,37,26,98,9
PBANKA_0316600,2536,496,49,141,625,121
PBANKA_0316650,27,32,11,6,11,24
PBANKA_0316700,222,171,56,25,106,30
PBANKA_0316800,1724,645,325,371,506,149
PBANKA_0316821,90,60,9,13,41,1
PBANKA_0316841,191,97,40,20,62,2
PBANKA_0316861,313,226,65,29,74,4
PBANKA_0316900,142,81,11,14,21,5
PBANKA_0316921,14,4,0,0,0,0
PBANKA_0316941,3,1,2,0,0,0
PBANKA_0316961,0,0,0,0,0,0
PBANKA_0316981,96,93,10,20,68,12
PBANKA_0317001,46,20,15,6,8,5
PBANKA_0317021,38,27,11,13,16,3
PBANKA_0317041,57,39,17,7,40,4
PBANKA_0317061,351,161,85,114,296,5
PBANKA_0317081,59,33,29,11,12,1
PBANKA_0317101,30,13,6,9,20,1
PBANKA_0317121,62,19,13,12,16,2
PBANKA_0317141,1231,1191,642,17,64,8
PBANKA_0317161,1152,912,251,14,25,12
PBANKA_0317181,1003,730,73,236,302,14
PBANKA_0400100,105,55,11,15,23,8
PBANKA_0400200,41,9,2,4,15,1
PBANKA_0400500,2839,1383,223,611,978,31
PBANKA_0400600,321,206,42,21,99,1
PBANKA_0400700,37,29,8,10,25,6
PBANKA_0400800,49,16,6,2,6,2
PBANKA_0400900,1004,359,158,110,394,56
PBANKA_0401000,2486,1400,380,428,1036,301
PBANKA_0401100,12441,4343,721,1445,3809,1224
PBANKA_0401200,1783,644,160,274,746,141
PBANKA_0401300,843,470,140,182,426,61
PBANKA_0401400,4261,1555,458,224,702,194
PBANKA_0401500,7106,2621,841,1138,2511,1210
PBANKA_0401600,3301,1191,289,569,1011,317
PBANKA_0401700,2084,621,221,214,893,218
PBANKA_0401800,5324,1881,568,559,1686,430
PBANKA_0401900,1743,1301,354,326,833,233
PBANKA_0402000,2502,982,367,350,788,269
PBANKA_0402100,7839,2366,450,940,2486,1023
PBANKA_0402200,69,43,12,9,59,10
PBANKA_0402300,1755,803,301,303,630,232
PBANKA_0402400,1365,766,229,388,695,199
PBANKA_0402500,12792,9763,2837,3813,6070,3424
PBANKA_0402600,859,416,126,135,347,55
PBANKA_0402700,167187,120199,32058,25486,78213,14847
PBANKA_0402800,2040,1092,323,232,785,123
PBANKA_0402900,2728,784,289,282,838,135
PBANKA_0403000,3076,1830,564,491,1850,329
PBANKA_0403100,949,656,181,178,585,113
PBANKA_0403200,434,922,194,294,1335,38
PBANKA_0403300,602,278,114,196,611,95
PBANKA_0403400,230,182,61,15,143,28
PBANKA_0403500,164,71,20,17,58,14
PBANKA_0403600,16296,5400,342,679,2347,389
PBANKA_0403700,6280,2852,785,718,2010,492
