Geneid	271KO_RNA_1.bam	271KO_RNA_2.bam	271KO_RNA_3.bam
PBANKA_0706300	211	450	405
PBANKA_1300021	4	5	7
PBANKA_0000401	0	0	0
PBANKA_1146700	106	231	225
PBANKA_0606200	17011	25771	30758
PBANKA_0607200	49	158	155
PBANKA_1331600	213	701	674
PBANKA_0920400	1258	2942	3169
PBANKA_0524821	1	5	5
PBANKA_0823700	746	1534	1875
PBANKA_0109300	114	446	369
PBANKA_1425600	187	557	354
PBANKA_1029200	72	134	178
PBANKA_0812900	6455	11463	11944
PBANKA_1444900	430	985	856
PBANKA_1426300	648	1766	1578
PBANKA_1025000	613	1351	1348
PBANKA_0612400	56019	103584	134332
PBANKA_0504600	73	277	177
PBANKA_0513100	170	290	448
PBANKA_1349000	1327	18640	13718
PBANKA_1463500	219	495	552
PBANKA_1402100	28	106	107
PBANKA_1300600	187	527	586
PBANKA_1027100	355	1018	840
PBANKA_0937900	463	1159	1405
PBANKA_0616900	385	902	807
PBANKA_1202500	735	1739	1912
PBANKA_1118800	38	122	123
PBANKA_1040151	19	50	72
PBANKA_0201700	22	42	93
PBANKA_1040200	35	73	99
PBANKA_0617700	133	455	496
PBANKA_0302300	66	283	350
PBANKA_1420200	106	309	245
PBANKA_MIT02200	15	77	62
PBANKA_0409700	6731	15811	19735
PBANKA_1317400	2534	6097	4784
PBANKA_0707200	706	1499	1703
PBANKA_1227200	409	854	805
PBANKA_1111900	59	231	158
PBANKA_1448400	750	1593	1577
PBANKA_1412200	810	2034	1818
PBANKA_0833600	241	813	629
PBANKA_1033900	1567	3762	2820
PBANKA_0822300	98	309	369
PBANKA_1125200	412	1099	943
PBANKA_0905100	166	354	530
PBANKA_1413600	278	713	732
PBANKA_1246921	0	0	0
PBANKA_1232100	1804	3829	3423
PBANKA_1356300	2158	5149	4693
PBANKA_0835000	56	172	179
PBANKA_1026800	956	2104	2922
PBANKA_0309400	1754	4703	3751
PBANKA_1429800	119	296	229
PBANKA_1126500	812	2873	2102
PBANKA_0934400	248	552	620
PBANKA_1214600	250	608	724
PBANKA_1464100	11	52	59
PBANKA_0933700	1127	2476	2461
PBANKA_1205100	9065	19075	24208
PBANKA_1126600	225	621	608
PBANKA_1203800	298	545	842
PBANKA_1400600	6727	37665	23107
PBANKA_0836900	147	250	229
PBANKA_0913000	3146	5849	5664
PBANKA_0703800	206	552	475
PBANKA_0513000	507	1147	1353
PBANKA_1004500	1829	3186	4053
PBANKA_1415600	5367	11543	10553
PBANKA_1110700	2191	5851	5521
PBANKA_0805750	0	0	0
PBANKA_1353100	3134	6265	6454
PBANKA_1451700	353	874	923
PBANKA_1364200	2430	7529	6851
PBANKA_0412000	23	108	67
PBANKA_1012400	717	1343	1474
PBANKA_0934100	132	399	387
PBANKA_1464200	475	1537	1373
PBANKA_1218200	2902	5008	4695
PBANKA_1118000	554	1240	1483
PBANKA_0500971	1	3	7
PBANKA_1361500	1195	2530	2332
PBANKA_1316100	3930	7904	9789
PBANKA_1000081	0	0	0
PBANKA_0833500	49	226	204
PBANKA_0823300	1151	2828	2584
PBANKA_1347500	177	500	468
PBANKA_0815900	1853	4473	4188
PBANKA_1200800	2427	4536	4948
PBANKA_1363100	59	160	144
PBANKA_0312200	233	656	635
PBANKA_1145500	288	805	703
PBANKA_1002400	679	1942	2898
PBANKA_1202100	1375	3004	2769
PBANKA_0415600	515	1101	1134
PBANKA_0804600	191	459	397
PBANKA_1017300	4282	9548	11082
PBANKA_0915000	944	2475	4000
PBANKA_0416800	562	1703	1335
PBANKA_1110350	3	8	61
PBANKA_1425350	69	316	191
PBANKA_0702500	679	1484	1390
PBANKA_1339500	786	1650	1757
PBANKA_0938000	18138	33768	40301
PBANKA_1040561	2	15	12
PBANKA_0600081	19	50	39
PBANKA_0522900	1114	2764	2353
PBANKA_1406000	32	101	148
PBANKA_1347700	1066	2238	2227
PBANKA_1318000	66	142	123
PBANKA_1329100	9391	16150	19579
PBANKA_0100600	349	1973	1663
PBANKA_1233700	809	1329	1596
PBANKA_1407600	1970	4848	4177
PBANKA_0510300	427	1437	1757
PBANKA_1300800	843	2745	2915
PBANKA_1129300	62	151	196
PBANKA_1034400	4243	15337	10794
PBANKA_1434300	320	607	554
PBANKA_1330000	74	186	129
PBANKA_1230500	793	2084	2300
PBANKA_0619600	33	89	93
PBANKA_1027400	35	84	104
PBANKA_1011500	1999	5424	4561
PBANKA_1449600	62	125	103
PBANKA_1035300	243	535	590
PBANKA_0405300	1547	7248	5725
PBANKA_0507000	1093	1962	2165
PBANKA_0834000	292	447	464
PBANKA_0909600	5512	11675	12490
PBANKA_1338200	1261	3162	4187
PBANKA_1216200	158	516	357
PBANKA_0903400	447	1078	1366
PBANKA_1437300	3852	12881	9273
PBANKA_1400081	45	108	119
PBANKA_1355900	13241	22053	26324
PBANKA_1345800	824	1756	1644
PBANKA_1313700	853	2041	2169
PBANKA_1360100	633	1944	1918
PBANKA_0315300	751	1219	1406
PBANKA_1316300	1163	2940	2891
PBANKA_0403200	748	2011	3134
PBANKA_1004300	245	827	799
PBANKA_0929100	670	1814	2203
PBANKA_0604300	8283	17508	14289
PBANKA_0941300	749	1855	2400
PBANKA_MIT00800	85	233	259
PBANKA_0811000	187	827	736
PBANKA_1413900	959	2259	2669
PBANKA_0720100	2758	6118	5694
PBANKA_1222300	143	660	720
PBANKA_0901200	197	738	835
PBANKA_1026000	833	1652	2322
PBANKA_1344900	91	234	291
PBANKA_1432451	3	2	4
PBANKA_0520400	611	1447	1348
PBANKA_1130500	1161	3869	3689
PBANKA_1037800	1169	2858	3890
PBANKA_1244400	168	368	358
PBANKA_0930200	812	1901	1758
PBANKA_0201340	124	371	257
PBANKA_0811200	232	408	634
PBANKA_1231000	1473	5952	4557
PBANKA_0413300	323	750	639
PBANKA_1347000	7322	11623	12913
PBANKA_1330500	41	169	122
PBANKA_1135300	500	1136	1323
PBANKA_1245100	201	477	471
PBANKA_0828000	3820	7427	8796
PBANKA_1302500	132	418	418
PBANKA_0713400	92	307	328
PBANKA_1306800	1428	3316	3157
PBANKA_1232800	131	466	415
PBANKA_1108500	9759	19191	21458
PBANKA_0105300	1210	3148	3121
PBANKA_0921000	4	40	65
PBANKA_0613300	961	2467	2806
PBANKA_1335000	3404	6338	8775
PBANKA_1423300	12930	30586	24700
PBANKA_1326300	973	3723	2663
PBANKA_0522200	763	1751	2307
PBANKA_0833400	127	445	435
PBANKA_1350600	469	988	948
PBANKA_0509400	59	143	161
PBANKA_0922100	1904	4998	4677
PBANKA_1011800	250	673	654
PBANKA_1337500	4227	8649	9660
PBANKA_1029700	907	1825	1912
PBANKA_0600061	14	75	67
PBANKA_1359900	330	862	439
PBANKA_0916200	1578	3943	3036
PBANKA_API00061	0	0	0
PBANKA_1311300	142	363	532
PBANKA_0815700	3862	8371	9564
PBANKA_0602100	116	270	302
PBANKA_1040500	10	20	16
PBANKA_API02900	0	0	0
PBANKA_1416500	44	174	196
PBANKA_1360300	3455	7321	6611
PBANKA_0701600	258	414	422
PBANKA_0931900	1140	2522	3031
PBANKA_1329300	2082	6848	5844
PBANKA_1132200	30	183	143
PBANKA_1243500	5295	12217	13933
PBANKA_0921500	167	576	470
PBANKA_0201600	7215	29759	24913
PBANKA_1000091	0	0	0
PBANKA_1342600	29	99	61
PBANKA_1456300	151	570	653
PBANKA_1006400	28	52	64
PBANKA_1434400	2003	4671	5181
PBANKA_0203650	186	815	872
PBANKA_0406600	180	489	815
PBANKA_0402400	307	676	764
PBANKA_0822500	505	1135	1023
PBANKA_1123800	1343	2595	2951
PBANKA_0413000	567	1367	1162
PBANKA_1321400	1121	2092	2228
PBANKA_0701900	449	1207	1932
PBANKA_0700400	3	21	30
PBANKA_1204300	379	1211	1211
PBANKA_1409300	370	770	986
PBANKA_1112900	366	695	718
PBANKA_1314700	393	964	926
PBANKA_1439500	33	120	96
PBANKA_0305500	134	327	229
PBANKA_1329500	2233	4583	4870
PBANKA_1019560	1	5	6
PBANKA_1005700	618	1007	1313
PBANKA_0508300	241	410	472
PBANKA_0908000	512	1072	1012
PBANKA_1113700	1500	2829	3106
PBANKA_1365000	33	98	36
PBANKA_0610100	1360	3073	3616
PBANKA_1205300	1155	3182	3806
PBANKA_0315500	57	159	96
PBANKA_1222200	77	209	210
PBANKA_0308600	811	2638	2215
PBANKA_0818600	277	736	672
PBANKA_0612700	262	516	646
PBANKA_0214521	0	6	6
PBANKA_1104700	429	1128	993
PBANKA_1111700	115	393	333
PBANKA_0601900	953	2699	1439
PBANKA_0306300	151	529	372
PBANKA_1347300	163	501	419
PBANKA_1006000	53	173	110
PBANKA_0925400	11709	29243	24855
PBANKA_1035800	228	716	577
PBANKA_0813700	18	38	47
PBANKA_1134200	102	368	239
PBANKA_1315100	248	659	691
PBANKA_0800500	102	199	263
PBANKA_1462800	137	364	346
PBANKA_1363500	254	609	593
PBANKA_0944101	15	58	48
PBANKA_1414600	828	1782	1736
PBANKA_0001401	1	1	2
PBANKA_1358700	755	1888	1785
PBANKA_1318500	4376	9344	12426
PBANKA_1320600	36	176	128
PBANKA_0416600	2789	6383	7467
PBANKA_1300061	0	0	0
PBANKA_1240000	745	2098	2026
PBANKA_1334600	257	1030	1091
PBANKA_0615800	2952	6381	6429
PBANKA_1457550	11	66	176
PBANKA_0926700	2529	16280	16133
PBANKA_0201250	225	878	833
PBANKA_0925300	1502	3303	3050
PBANKA_1039800	32	124	86
PBANKA_0417400	1495	3447	3855
PBANKA_1103900	317	652	853
PBANKA_1246981	0	0	0
PBANKA_0402100	2097	4434	4874
PBANKA_0508100	11829	23598	22323
PBANKA_1350700	198	614	563
PBANKA_0001301	1	0	0
PBANKA_0207100	175	463	531
PBANKA_1358100	63	210	141
PBANKA_0927300	682	1518	2042
PBANKA_1339700	306	495	622
PBANKA_1423800	122	389	322
PBANKA_0832700	786	2005	2752
PBANKA_0810000	266	687	742
PBANKA_1354400	3143	7892	7244
PBANKA_0944000	23	68	44
PBANKA_1464400	26	120	125
PBANKA_1362100	1007	2595	2392
PBANKA_1436400	224	793	983
PBANKA_0618400	679	1811	1794
PBANKA_0800400	1217	7300	6376
PBANKA_0407000	54	138	111
PBANKA_0912300	1048	2772	2263
PBANKA_0506700	1313	3101	3474
PBANKA_0907700	395	1069	1078
PBANKA_1110800	207	587	574
PBANKA_0909000	84	182	192
PBANKA_1359600	1554	4305	5032
PBANKA_0917400	751	1739	1891
PBANKA_0909700	150	752	1241
PBANKA_1301000	225	642	440
PBANKA_0205200	5195	12709	11579
PBANKA_0834400	2207	4473	4770
PBANKA_1212000	1544	3574	3231
PBANKA_1005400	790	1868	2153
PBANKA_1438400	2890	6387	6014
PBANKA_1422000	130	311	293
PBANKA_1331800	750	1901	1824
PBANKA_0112701	0	3	1
PBANKA_1365700	120	264	261
PBANKA_1146781	2	5	1
PBANKA_0406200	2347	4330	3893
PBANKA_1403800	1342	3167	2814
PBANKA_1242500	852	1919	1607
PBANKA_1322600	27	249	176
PBANKA_1019380	6	32	19
PBANKA_1429500	127	420	388
PBANKA_0210900	40	111	97
PBANKA_0800061	4	27	13
PBANKA_1354200	277	1239	1546
PBANKA_1465100	210	1230	1037
PBANKA_1138300	332	895	756
PBANKA_1340300	493	1046	973
PBANKA_0907500	965	1768	2026
PBANKA_1457700	230	384	560
PBANKA_0203800	403	1089	915
PBANKA_1000900	11	37	25
PBANKA_0313500	192	460	436
PBANKA_0212500	64	178	179
PBANKA_1029500	104	172	184
PBANKA_0814500	566	1326	1636
PBANKA_1216900	967	2466	2230
PBANKA_0412700	39	129	244
PBANKA_1325400	1435	3466	5067
PBANKA_0802300	4472	8437	9299
PBANKA_0921600	929	1798	1698
PBANKA_1455300	674	1593	1412
PBANKA_0916800	39	143	126
PBANKA_0623600	179	386	371
PBANKA_0620000	102	289	269
PBANKA_1409200	1294	3540	5325
PBANKA_1019370	2	19	7
PBANKA_1438900	96	227	281
PBANKA_1005900	211	569	555
PBANKA_1004700	93	398	265
PBANKA_0620400	9218	18918	22354
PBANKA_1454000	1003	2256	2090
PBANKA_1450500	441	892	883
PBANKA_1339600	783	1971	2815
PBANKA_0611000	132	331	411
PBANKA_1401300	1021	2921	2136
PBANKA_1310800	2709	7093	5854
PBANKA_0913900	787	1539	1681
PBANKA_1329600	1104	2436	2745
PBANKA_1322100	162	469	399
PBANKA_0818400	497	913	1281
PBANKA_1036000	1011	2530	2535
PBANKA_1018800	972	2454	2011
PBANKA_0923000	872	1692	2171
PBANKA_0617000	534	1278	1521
PBANKA_0308200	48	155	155
PBANKA_1438800	147	322	497
PBANKA_0605300	1178	2288	2582
PBANKA_1337600	1743	3644	3711
PBANKA_0102700	570	1071	927
PBANKA_0919900	2678	4539	5764
PBANKA_1408600	48	140	131
PBANKA_0616600	829	3792	4042
PBANKA_1032100	1207	7563	7499
PBANKA_1351351	9	18	30
PBANKA_0829300	68	154	100
PBANKA_0700721	301	231	839
PBANKA_1401400	156	406	376
PBANKA_0828100	1530	3041	3028
PBANKA_0812200	1855	3291	4906
PBANKA_0918500	205	481	390
PBANKA_1443800	900	2682	2553
PBANKA_0414500	671	1604	1441
PBANKA_1129600	308	583	441
PBANKA_1316200	246	565	485
PBANKA_0000301	2	4	3
PBANKA_1410600	68	343	296
PBANKA_1409600	2353	3664	3230
PBANKA_1327200	33	127	98
PBANKA_0521400	173	465	496
PBANKA_0905800	81	450	339
PBANKA_1414100	2617	5161	6654
PBANKA_0902700	28	69	79
PBANKA_1306400	54	215	144
PBANKA_1233300	703	1866	1276
PBANKA_1360800	228	463	438
PBANKA_1032000	55	194	171
PBANKA_1432600	35	83	84
PBANKA_1358500	238	540	749
PBANKA_1037600	417	959	1154
PBANKA_0311900	452	1918	1698
