Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_1117200	2016	2555	2214
PBANKA_0833100	5169	9526	8215
PBANKA_0807400	816	1836	1391
PBANKA_1454600	17977	26786	23138
PBANKA_1306500	176	358	349
PBANKA_1222500	34198	40684	38209
PBANKA_0818500	15753	21390	19098
PBANKA_0212300	3503	4374	3952
PBANKA_0104400	13050	18569	16748
PBANKA_0808420	1865	2564	2092
PBANKA_1424700	620	1166	938
PBANKA_1002700	2371	3688	4424
PBANKA_0909800	2147	4314	3158
PBANKA_0205300	2471	3618	2601
PBANKA_0927000	6762	10646	9231
PBANKA_0512800	24302	31899	27389
PBANKA_0508000	83	121	102
PBANKA_0602900	5493	8493	8192
PBANKA_0823500	7152	10408	10027
PBANKA_1240800	351	536	374
PBANKA_0702300	3638	5656	4669
PBANKA_0101700	11179	17139	14946
PBANKA_0937400	7453	11344	10031
PBANKA_0903100	6167	8135	8280
PBANKA_1106000	26897	24783	23451
PBANKA_1104400	36753	41279	38330
PBANKA_1003800	13019	20938	17212
PBANKA_0300100	203	359	317
PBANKA_0825900	109623	125047	119185
PBANKA_1137700	7263	9520	7919
PBANKA_1226400	8326	13320	10504
PBANKA_1242300	29317	41738	33115
PBANKA_1445500	5715	9173	7797
PBANKA_0702900	18844	27499	24277
PBANKA_1334700	48587	53487	54098
PBANKA_0931400	1119	2918	2035
PBANKA_0503900	2911	3650	3152
PBANKA_1138600	89146	101097	88077
PBANKA_1312600	672	818	744
PBANKA_0820500	123	166	94
PBANKA_0926800	2763	3472	2768
PBANKA_1421600	3103	4634	4068
PBANKA_0930600	3049	4363	3747
PBANKA_0605700	12009	17685	14748
PBANKA_0612600	1847	2097	2038
PBANKA_0103300	58548	89671	76371
PBANKA_1225100	10681	14034	12058
PBANKA_0521600	2372	5096	3649
PBANKA_1413400	3827	6694	5341
PBANKA_0823800	313	610	482
PBANKA_1450800	6807	8878	7128
PBANKA_1117700	14959	22369	18576
PBANKA_1140300	22718	30689	30589
PBANKA_0708400	1182	1995	1527
PBANKA_0412200	3627	5555	4909
PBANKA_0500100	0	0	0
PBANKA_0305600	664	1314	1080
PBANKA_1034100	27964	41382	35245
PBANKA_0928800	3865	6296	4881
PBANKA_0308700	771	1189	1107
PBANKA_1406700	19339	37570	31146
PBANKA_1439000	1502	1867	1916
PBANKA_1104600	5264	7119	6493
PBANKA_1458100	2916	4909	4168
PBANKA_1123100	5518	6757	5706
PBANKA_1244000	969	2366	1789
PBANKA_1135800	11051	12469	9445
PBANKA_0706300	3204	5636	4010
PBANKA_1300021	22	44	50
PBANKA_0000401	0	0	1
PBANKA_1146700	483	812	955
PBANKA_0606200	112209	129212	122602
PBANKA_0607200	489	805	655
PBANKA_1331600	2320	2742	2181
PBANKA_0920400	22266	28825	25511
PBANKA_0524821	38	30	38
PBANKA_0823700	12592	15175	14991
PBANKA_0109300	1984	2946	2513
PBANKA_1425600	3223	5686	4212
PBANKA_1029200	829	1444	1367
PBANKA_0812900	46273	55999	52948
PBANKA_1444900	5661	7855	6081
PBANKA_1426300	9150	16547	12882
PBANKA_1025000	5642	7874	7198
PBANKA_0612400	759704	862588	777997
PBANKA_0504600	1218	2734	1888
PBANKA_0513100	1732	2266	2282
PBANKA_1349000	13685	23300	23504
PBANKA_1463500	3216	4746	3728
PBANKA_1402100	405	643	560
PBANKA_1300600	3860	5866	4910
PBANKA_1027100	7578	9923	8563
PBANKA_0937900	8979	10843	9843
PBANKA_0616900	6875	9254	7157
PBANKA_1202500	9456	13643	13088
PBANKA_1118800	752	1428	1150
PBANKA_1040151	196	202	210
PBANKA_0201700	264	262	286
PBANKA_1040200	157	308	356
PBANKA_0617700	1811	2842	2482
PBANKA_0302300	1295	2086	1833
PBANKA_1420200	1506	3289	2158
PBANKA_MIT02200	41	59	47
PBANKA_0409700	35743	38296	36097
PBANKA_1317400	18750	35160	24526
PBANKA_0707200	6715	8708	7820
PBANKA_1227200	6565	8726	7678
PBANKA_1111900	1244	2246	1704
PBANKA_1448400	7699	10771	8866
PBANKA_1412200	12365	16648	15250
PBANKA_0833600	4381	7007	5549
PBANKA_1033900	17332	34308	22723
PBANKA_0822300	1885	2770	2311
PBANKA_1125200	5819	7464	6334
PBANKA_0905100	1226	1772	1850
PBANKA_1413600	1797	3193	3105
PBANKA_1246921	0	2	0
PBANKA_1232100	12613	21136	18357
PBANKA_1356300	24541	34045	27640
PBANKA_0835000	1102	1450	1269
PBANKA_1026800	9034	10789	10383
PBANKA_0309400	28919	41949	34874
PBANKA_1429800	964	1625	1297
PBANKA_1126500	10458	22205	16425
PBANKA_0934400	2739	3858	3622
PBANKA_1214600	3101	4763	4061
PBANKA_1464100	230	337	263
PBANKA_0933700	12172	18750	15610
PBANKA_1205100	71591	76714	76869
PBANKA_1126600	3133	5611	4551
PBANKA_1203800	5314	9993	23539
PBANKA_1400600	96331	174334	144958
PBANKA_0836900	312	451	629
PBANKA_0913000	24000	32639	29856
PBANKA_0703800	4971	6486	5256
PBANKA_0513000	2897	4077	4646
PBANKA_1004500	22197	25178	23527
PBANKA_1415600	35463	54512	46612
PBANKA_1110700	26351	36225	26988
PBANKA_0805750	0	0	0
PBANKA_1353100	62805	71591	62473
PBANKA_1451700	5954	7319	6347
PBANKA_1364200	18565	33140	27284
PBANKA_0412000	436	791	634
PBANKA_1012400	8275	9989	9700
PBANKA_0934100	1230	2267	2002
PBANKA_1464200	3070	3880	3476
PBANKA_1218200	20034	32545	26216
PBANKA_1118000	8223	9434	8511
PBANKA_0500971	10	39	38
PBANKA_1361500	11414	17669	14268
PBANKA_1316100	49807	61718	58150
PBANKA_1000081	1	1	0
PBANKA_0833500	1204	1827	1755
PBANKA_0823300	13441	19202	15930
PBANKA_1347500	2751	4344	3721
PBANKA_0815900	46550	53356	38291
PBANKA_1200800	22424	31041	25909
PBANKA_1363100	3056	3971	3022
PBANKA_0312200	3381	4730	4066
PBANKA_1145500	6113	10892	8157
PBANKA_1002400	10673	9694	10581
PBANKA_1202100	14883	21724	16889
PBANKA_0415600	9702	12229	10781
PBANKA_0804600	2376	4648	3853
PBANKA_1017300	72832	83127	79041
PBANKA_0915000	12639	11952	12997
PBANKA_0416800	10169	17508	12829
PBANKA_1110350	27	46	31
PBANKA_1425350	1154	2315	1618
PBANKA_0702500	8011	11911	10253
PBANKA_1339500	10692	12745	12299
PBANKA_0938000	218180	244212	233348
PBANKA_1040561	116	121	89
PBANKA_0600081	78	197	226
PBANKA_0522900	16161	24409	20713
PBANKA_1406000	502	639	585
PBANKA_1347700	9576	14943	12779
PBANKA_1318000	688	915	770
PBANKA_1329100	53692	61200	60056
PBANKA_0100600	5818	8516	7799
PBANKA_1233700	3994	3862	3932
PBANKA_1407600	15768	26491	22499
PBANKA_0510300	27567	32805	24569
PBANKA_1300800	7049	12287	12300
PBANKA_1129300	1029	1665	1640
PBANKA_1034400	30488	70054	52698
PBANKA_1434300	3314	4660	3951
PBANKA_1330000	2590	3255	2268
PBANKA_1230500	7071	9299	9029
PBANKA_0619600	846	1228	952
PBANKA_1027400	250	601	494
PBANKA_1011500	36140	50804	42759
PBANKA_1449600	640	809	604
PBANKA_1035300	2540	3922	3526
PBANKA_0405300	8464	17173	14248
PBANKA_0507000	6146	10070	10264
PBANKA_0834000	1466	2596	2397
PBANKA_0909600	60982	80480	71630
PBANKA_1338200	5957	7105	7537
PBANKA_1216200	2225	4029	3174
PBANKA_0903400	6282	8020	7298
PBANKA_1437300	62728	110868	82449
PBANKA_1400081	282	421	418
PBANKA_1355900	87064	104935	98993
PBANKA_1345800	12060	17687	15345
PBANKA_1313700	12004	16091	13822
PBANKA_1360100	5304	10966	10281
PBANKA_0315300	9731	12171	11973
PBANKA_1316300	16310	22018	19114
PBANKA_0403200	839	2360	2017
PBANKA_1004300	4697	7122	5955
PBANKA_0929100	7807	8963	8477
PBANKA_0604300	57298	90696	66243
PBANKA_0941300	9396	12380	12455
PBANKA_MIT00800	362	523	340
PBANKA_0811000	1613	3238	2559
PBANKA_1413900	11469	16663	15711
PBANKA_0720100	36503	47134	44948
PBANKA_1222300	3917	4593	4107
PBANKA_0901200	2612	3268	2840
PBANKA_1026000	7166	8661	7281
PBANKA_1344900	1844	2381	2283
PBANKA_1432451	8	14	21
PBANKA_0520400	7456	8892	8253
PBANKA_1130500	6149	11303	9198
PBANKA_1037800	4927	6317	6799
PBANKA_1244400	2362	4505	2801
PBANKA_0930200	9817	13007	11373
PBANKA_0201340	1530	2760	2102
PBANKA_0811200	2219	3201	2929
PBANKA_1231000	6052	12612	9992
PBANKA_0413300	4989	7206	5313
PBANKA_1347000	45031	56086	54659
PBANKA_1330500	716	1501	1149
PBANKA_1135300	7475	10972	10569
PBANKA_1245100	4242	6489	5236
PBANKA_0828000	41733	47493	42941
PBANKA_1302500	1532	2431	1951
PBANKA_0713400	1081	1681	1308
PBANKA_1306800	22080	34443	26532
PBANKA_1232800	2410	3426	2875
PBANKA_1108500	185426	209833	177445
PBANKA_0105300	19804	28172	24318
PBANKA_0921000	160	262	256
PBANKA_0613300	15001	18672	16315
PBANKA_1335000	34741	37994	38753
PBANKA_1423300	86834	178348	128854
PBANKA_1326300	8836	14467	11348
PBANKA_0522200	20485	22367	18266
PBANKA_0833400	1841	2722	2237
PBANKA_1350600	6372	10291	7585
PBANKA_0509400	585	1218	847
PBANKA_0922100	13488	24524	20749
PBANKA_1011800	3050	4787	4270
PBANKA_1337500	51963	66770	62217
PBANKA_1029700	6663	9550	8579
PBANKA_0600061	569	868	1032
PBANKA_1359900	1546	3388	2475
PBANKA_0916200	12793	24801	18252
PBANKA_API00061	0	0	0
PBANKA_1311300	2465	2663	2430
PBANKA_0815700	44097	48298	42802
PBANKA_0602100	2063	2959	2534
PBANKA_1040500	54	49	64
PBANKA_API02900	0	0	0
PBANKA_1416500	787	795	781
PBANKA_1360300	25241	44049	35205
PBANKA_0701600	2490	4777	3779
PBANKA_0931900	16741	21081	19231
PBANKA_1329300	14075	28108	22318
PBANKA_1132200	833	1783	1290
PBANKA_1243500	34948	41853	38882
PBANKA_0921500	1349	2727	2099
PBANKA_0201600	65995	125468	106846
PBANKA_1000091	0	4	2
PBANKA_1342600	1431	1861	1464
PBANKA_1456300	1419	1914	1742
PBANKA_1006400	184	260	252
PBANKA_1434400	14872	16947	15337
PBANKA_0203650	1919	2482	2201
PBANKA_0406600	3235	3368	3515
PBANKA_0402400	3658	4675	3985
PBANKA_0822500	7969	10742	9312
